Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
A,AGILENT TECHNOLOGIES INC,Health Care,Equity,"10,351,708.68",0.07,"10,351,708.68","79,494.00",130.22,United States,New York Stock Exchange Inc.,USD,1.00,--
AA,ALCOA CORP,Materials,Equity,"2,780,109.02",0.02,"2,780,109.02","67,462.00",41.21,United States,New York Stock Exchange Inc.,USD,1.00,--
AAL,AMERICAN AIRLINES GROUP INC,Industrials,Equity,"2,511,571.02",0.02,"2,511,571.02","176,127.00",14.26,United States,NASDAQ,USD,1.00,--
AAOI,APPLIED OPTOELECTRONICS INC,Information Technology,Equity,"335,632.45",0.00,"335,632.45","11,923.00",28.15,United States,NASDAQ,USD,1.00,--
AAON,AAON INC,Industrials,Equity,"2,359,416.88",0.02,"2,359,416.88","17,716.00",133.18,United States,NASDAQ,USD,1.00,--
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,Equity,"647,993.60",0.00,"647,993.60","15,728.00",41.20,United States,New York Stock Exchange Inc.,USD,1.00,--
AAPL,APPLE INC,Information Technology,Equity,"896,630,736.00",5.75,"896,630,736.00","3,928,800.00",228.22,United States,NASDAQ,USD,1.00,--
AAT,AMERICAN ASSETS TRUST REIT INC,Real Estate,Equity,"342,597.48",0.00,"342,597.48","12,577.00",27.24,United States,New York Stock Exchange Inc.,USD,1.00,"Jan 01, 1970"
ABBV,ABBVIE INC,Health Care,Equity,"81,145,563.84",0.52,"81,145,563.84","478,368.00",169.63,United States,New York Stock Exchange Inc.,USD,1.00,--
ABCB,AMERIS BANCORP,Financials,Equity,"1,133,831.32",0.01,"1,133,831.32","16,286.00",69.62,United States,New York Stock Exchange Inc.,USD,1.00,--
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,Equity,"1,430,538.16",0.01,"1,430,538.16","5,468.00",261.62,United States,New York Stock Exchange Inc.,USD,1.00,--
ABM,ABM INDUSTRIES INC,Industrials,Equity,"983,432.52",0.01,"983,432.52","17,694.00",55.58,United States,New York Stock Exchange Inc.,USD,1.00,--
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,"15,860,452.64",0.10,"15,860,452.64","117,869.00",134.56,United States,NASDAQ,USD,1.00,--
ABR,ARBOR REALTY TRUST REIT INC,Financials,Equity,"622,331.40",0.00,"622,331.40","41,214.00",15.10,United States,New York Stock Exchange Inc.,USD,1.00,--
ABSI,ABSCI CORP,Health Care,Equity,"105,953.13",0.00,"105,953.13","35,142.00",3.02,United States,NASDAQ,USD,1.00,--
ABT,ABBOTT LABORATORIES,Health Care,Equity,"53,720,965.51",0.34,"53,720,965.51","467,017.00",115.03,United States,New York Stock Exchange Inc.,USD,1.00,--
ABUS,ARBUTUS BIOPHARMA CORP,Health Care,Equity,"177,441.66",0.00,"177,441.66","48,882.00",3.63,United States,NASDAQ,USD,1.00,--
ACA,ARCOSA INC,Industrials,Equity,"1,338,690.71",0.01,"1,338,690.71","12,913.00",103.67,United States,New York Stock Exchange Inc.,USD,1.00,--
ACAD,ACADIA PHARMACEUTICALS INC,Health Care,Equity,"593,487.40",0.00,"593,487.40","34,870.00",17.02,United States,NASDAQ,USD,1.00,--
ACCD,ACCOLADE INC,Health Care,Equity,"54,244.80",0.00,"54,244.80","15,068.00",3.60,United States,NASDAQ,USD,1.00,--
ACCO,ACCO BRANDS CORP,Industrials,Equity,"169,105.32",0.00,"169,105.32","28,044.00",6.03,United States,New York Stock Exchange Inc.,USD,1.00,--
ACDC,PROFRAC HOLDING CLASS A CORP,Energy,Equity,"55,572.22",0.00,"55,572.22","8,282.00",6.71,United States,NASDAQ,USD,1.00,--
ACEL,ACCEL ENTERTAINMENT INC CLASS A,Consumer Discretionary,Equity,"154,481.25",0.00,"154,481.25","13,125.00",11.77,United States,New York Stock Exchange Inc.,USD,1.00,--
ACGL,ARCH CAPITAL GROUP LTD,Financials,Equity,"9,750,572.85",0.06,"9,750,572.85","97,457.00",100.05,United States,NASDAQ,USD,1.00,--
ACHC,ACADIA HEALTHCARE COMPANY INC,Health Care,Equity,"976,797.12",0.01,"976,797.12","24,817.00",39.36,United States,NASDAQ,USD,1.00,--
ACHR,ARCHER AVIATION INC CLASS A,Industrials,Equity,"329,407.65",0.00,"329,407.65","76,785.00",4.29,United States,New York Stock Exchange Inc.,USD,1.00,--
ACI,ALBERTSONS COMPANY INC CLASS A,Consumer Staples,Equity,"2,129,210.70",0.01,"2,129,210.70","111,477.00",19.10,United States,New York Stock Exchange Inc.,USD,1.00,--
ACIW,ACI WORLDWIDE INC,Information Technology,Equity,"1,529,825.00",0.01,"1,529,825.00","27,815.00",55.00,United States,NASDAQ,USD,1.00,--
ACLS,AXCELIS TECHNOLOGIES INC,Information Technology,Equity,"703,026.60",0.00,"703,026.60","8,916.00",78.85,United States,NASDAQ,USD,1.00,--
ACLX,ARCELLX INC,Health Care,Equity,"1,042,362.04",0.01,"1,042,362.04","10,963.00",95.08,United States,NASDAQ,USD,1.00,--
ACM,AECOM,Industrials,Equity,"3,857,484.80",0.02,"3,857,484.80","35,984.00",107.20,United States,New York Stock Exchange Inc.,USD,1.00,--
ACMR,ACM RESEARCH CLASS A INC,Information Technology,Equity,"302,264.74",0.00,"302,264.74","16,138.00",18.73,United States,NASDAQ,USD,1.00,--
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"61,341,537.33",0.39,"61,341,537.33","169,419.00",362.07,United States,New York Stock Exchange Inc.,USD,1.00,--
ACNB,ACNB CORP,Financials,Equity,"152,047.50",0.00,"152,047.50","3,201.00",47.50,United States,NASDAQ,USD,1.00,--
ACRE,ARES COMMERCIAL REAL ESTATE REIT C,Financials,Equity,"78,308.97",0.00,"78,308.97","11,203.00",6.99,United States,New York Stock Exchange Inc.,USD,1.00,--
ACT,ENACT HOLDINGS INC,Financials,Equity,"292,477.38",0.00,"292,477.38","8,567.00",34.14,United States,NASDAQ,USD,1.00,--
ACTG,ACACIA RESEARCH CORP,Financials,Equity,"136,348.37",0.00,"136,348.37","31,201.00",4.37,United States,NASDAQ,USD,1.00,--
ACVA,ACV AUCTIONS INC CLASS A,Industrials,Equity,"835,714.88",0.01,"835,714.88","41,744.00",20.02,United States,NASDAQ,USD,1.00,--
ADBE,ADOBE INC,Information Technology,Equity,"63,585,989.61",0.41,"63,585,989.61","120,003.00",529.87,United States,NASDAQ,USD,1.00,--
ADC,AGREE REALTY REIT CORP,Real Estate,Equity,"2,059,978.68",0.01,"2,059,978.68","27,252.00",75.59,United States,New York Stock Exchange Inc.,USD,1.00,--
ADCT,ADC THERAPEUTICS SA,Health Care,Equity,"125,347.65",0.00,"125,347.65","47,301.00",2.65,United States,New York Stock Exchange Inc.,USD,1.00,--
ADEA,ADEIA INC,Information Technology,Equity,"330,074.28",0.00,"330,074.28","28,284.00",11.67,United States,NASDAQ,USD,1.00,--
ADI,ANALOG DEVICES INC,Information Technology,Equity,"28,506,378.88",0.18,"28,506,378.88","134,312.00",212.24,United States,NASDAQ,USD,1.00,--
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Equity,"6,779,513.59",0.04,"6,779,513.59","129,109.00",52.51,United States,New York Stock Exchange Inc.,USD,1.00,--
